"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 02 19:34:02 GMT 2022","Tue Aug 02 19:34:05 GMT 2022","3444","tests","tests_steps","TestLogin","","","test_sign_in",""
"passed","Tue Aug 02 19:34:11 GMT 2022","Tue Aug 02 19:34:21 GMT 2022","10750","tests","tests_steps","TestScenario2","","","test_scenario_2",""
"passed","Tue Aug 02 19:34:43 GMT 2022","Tue Aug 02 19:34:46 GMT 2022","2970","tests","tests_steps","TestScenario3lists","","","test_scenario_3_lists",""
"failed","Tue Aug 02 19:34:26 GMT 2022","Tue Aug 02 19:34:30 GMT 2022","3497","tests","tests_steps","TestScenario3orders","","","test_scenario_3_orders",""
"failed","Tue Aug 02 19:34:36 GMT 2022","Tue Aug 02 19:34:39 GMT 2022","2941","tests","tests_steps","TestScenario3addresses","","","test_scenario_3_addresses",""
