"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 03 07:31:16 GMT 2022","Wed Aug 03 07:31:18 GMT 2022","2384","tests","tests_steps","TestScenario3orders","","","test_scenario_3_orders",""
"passed","Wed Aug 03 07:31:28 GMT 2022","Wed Aug 03 07:31:29 GMT 2022","1829","tests","tests_steps","TestScenario3lists","","","test_scenario_3_lists",""
"passed","Wed Aug 03 07:31:06 GMT 2022","Wed Aug 03 07:31:13 GMT 2022","6835","tests","tests_steps","TestScenario2","","","test_scenario_2",""
"failed","Wed Aug 03 07:31:23 GMT 2022","Wed Aug 03 07:31:25 GMT 2022","1804","tests","tests_steps","TestScenario3addresses","","","test_scenario_3_addresses",""
"failed","Wed Aug 03 07:31:00 GMT 2022","Wed Aug 03 07:31:03 GMT 2022","2323","tests","tests_steps","TestLogin","","","test_sign_in",""
