"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 13:08:33 GMT 2022","Wed Aug 31 13:08:36 GMT 2022","2391","tests","tests_steps","TestScenario3lists","","","test_scenario_3_lists",""
"failed","Wed Aug 31 13:07:40 GMT 2022","Wed Aug 31 13:07:42 GMT 2022","2506","tests","tests_steps","TestLogin","","","test_sign_in",""
"broken","Wed Aug 31 13:07:45 GMT 2022","Wed Aug 31 13:08:14 GMT 2022","28597","tests","tests_steps","TestScenario2","","","test_scenario_2",""
"failed","Wed Aug 31 13:08:19 GMT 2022","Wed Aug 31 13:08:22 GMT 2022","3030","tests","tests_steps","TestScenario3orders","","","test_scenario_3_orders",""
"failed","Wed Aug 31 13:08:26 GMT 2022","Wed Aug 31 13:08:29 GMT 2022","2796","tests","tests_steps","TestScenario3addresses","","","test_scenario_3_addresses",""
